transaction_id,account_id,type,amount,currency,timestamp
INV-JUNE-001,ACC-INVOICING-01,CREDIT,10000.00,USD,2026-06-01T09:00:00Z
INV-JUNE-002,ACC-INVOICING-01,DEBIT,2500.00,USD,2026-06-01T10:00:00Z
INV-JUNE-003,ACC-INVOICING-02,CREDIT,5500.00,EUR,2026-06-02T08:00:00Z
INV-JUNE-004,ACC-INVOICING-02,DEBIT,1200.00,EUR,2026-06-02T11:00:00Z
INV-JUNE-005,ACC-INVOICING-03,CREDIT,7500.00,GBP,2026-06-03T07:00:00Z
INV-JUNE-006,ACC-INVOICING-03,DEBIT,3500.00,GBP,2026-06-03T14:00:00Z
INV-JUNE-007,ACC-INVOICING-01,CREDIT,8000.00,USD,2026-06-04T09:00:00Z
INV-JUNE-008,ACC-INVOICING-02,CREDIT,6200.00,EUR,2026-06-05T10:00:00Z
INV-JUNE-009,ACC-INVOICING-03,DEBIT,2000.00,GBP,2026-06-05T15:00:00Z
INV-JUNE-010,ACC-INVOICING-01,DEBIT,1500.00,USD,2026-06-06T12:00:00Z
